material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,392.7,https://www.amazon.com/SOUTHWIRE-COMPANY-20493301-500BLK-BLDG/dp/B000LNKH2C,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-10,copper,1630.76,8062.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,392.7,https://www.amazon.com/SOUTHWIRE-COMPANY-20493301-500BLK-BLDG/dp/B000LNKH2C,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-10,copper,1630.76,8062.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Thursday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-10,copper,1630.76,8062.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Thursday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-10,copper,1630.76,8062.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Saturday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-22,copper,1545.64,7540.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Saturday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-22,copper,1545.64,7540.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-03,copper,1519.22,7509.5,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-03,copper,1519.22,7509.5,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Thursday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-03,copper,1519.22,7509.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Thursday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-03,copper,1519.22,7509.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-03,copper,1519.22,7509.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-03,copper,1519.22,7509.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Saturday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-12,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Saturday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-12,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,456.49,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Saturday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-12,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,456.49,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Saturday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-12,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,southwestlumber,354.99,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,Saturday,"1917 S Avenue B. Yuma, AZ, 85364",85364,mountains,2022-11-12,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,southwestlumber,354.99,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,Saturday,"1917 S Avenue B. Yuma, AZ, 85364",85364,mountains,2022-11-12,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Saturday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-12,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Saturday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-12,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Tuesday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-01,copper,1566.0,7742.35,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Tuesday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-01,copper,1566.0,7742.35,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Tuesday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-01,copper,1566.0,7742.35,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Tuesday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-01,copper,1566.0,7742.35,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Tuesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-01,copper,1566.0,7742.35,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Tuesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-01,copper,1566.0,7742.35,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Monday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-24,copper,1545.64,7540.0,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Monday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-24,copper,1545.64,7540.0,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Monday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-24,copper,1545.64,7540.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Monday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-24,copper,1545.64,7540.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Monday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-24,copper,1545.64,7540.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Monday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-24,copper,1545.64,7540.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,511.7,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Monday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-07,copper,1600.95,7953.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,511.7,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Monday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-07,copper,1600.95,7953.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,dkhardware,506.37,https://www.dkhardware.com/southwire-500-ft-6-black-stranded-cu-simpull-thhn-wire-20493301-product-3146605.html,Monday,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",33009,southeast,2022-11-07,copper,1600.95,7953.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,dkhardware,506.37,https://www.dkhardware.com/southwire-500-ft-6-black-stranded-cu-simpull-thhn-wire-20493301-product-3146605.html,Monday,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",33009,southeast,2022-11-07,copper,1600.95,7953.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,southwestlumber,344.99,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,Monday,"1917 S Avenue B. Yuma, AZ, 85364",85364,mountains,2022-11-07,copper,1600.95,7953.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,southwestlumber,344.99,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,Monday,"1917 S Avenue B. Yuma, AZ, 85364",85364,mountains,2022-11-07,copper,1600.95,7953.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Monday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-07,copper,1600.95,7953.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Monday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-07,copper,1600.95,7953.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Monday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-07,copper,1600.95,7953.85,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Monday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-07,copper,1600.95,7953.85,about average
