material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118.0,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,Sunday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-11-06,copper,1600.95,7953.85,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,90.0,https://denalibuildingsupply.com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,Friday,online,other,other,2022-11-11,copper,1700.39,8440.5,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,116.94,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-11,copper,1700.39,8440.5,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,Friday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-11,copper,1700.39,8440.5,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,landmsupply,84.99,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,Friday,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",55744,northplaines,2022-11-11,copper,1700.39,8440.5,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118.0,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,Friday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-11-11,copper,1700.39,8440.5,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,socalelectric,117.0,https://www.socalelectric.com/products/250-ft-14-2-romex-simpull-solid-nm-b-w-g-wire,Friday,"5512 West Pico Blvd. Los Angeles, CA, 90019",90019,west,2022-11-11,copper,1700.39,8440.5,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,90.0,https://denalibuildingsupply.com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,Thursday,online,other,other,2022-11-10,copper,1630.76,8062.5,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118.0,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,Thursday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-11-10,copper,1630.76,8062.5,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,116.93,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-10,copper,1630.76,8062.5,about average
