material_description,material_price,vendor,link,formatted_datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,ebay,https://www.ebay.com/p/1700352648,10/24/2022 14:10
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,amazon,https://www.amazon.com/EMT-Conduit-10-ft-Steel/dp/B0078RZC4M,10/24/2022 14:10
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,homedepot,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,10/24/2022 14:10
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.1,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/24/2022 14:10
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,10/24/2022 14:10
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,10/24/2022 14:10
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),2.29,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/24/2022 14:10
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,10/24/2022 14:10
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,10/24/2022 14:10
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,10/24/2022 14:10
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,10/24/2022 14:10
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149,dkhardware,https://www.dkhardware.com/southwire-250-ft-12-2-solid-romex-simpull-cu-nm-b-w-g-wire-28828255-product-3154834.html,10/24/2022 14:10
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279,ebay,https://www.ebay.com/b/12-3-Romex/92078/bn_7023293830,10/24/2022 14:10
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,10/24/2022 14:10
500 ft. 6 Gauge Black Stranded Copper THHN Wire,379,amazon,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/24/2022 14:10
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,10/24/2022 14:10
