material_price,vendor,link,formatted_datetime
4.49,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,11/15/2022 08:23:33
8.35,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/15/2022 08:23:33
33.34,dkhardware,https://www.dkhardware.com/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-101568-product-3154073.html,11/15/2022 08:23:33
,,,
2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/15/2022 08:23:33
1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,11/15/2022 08:23:33
,,,
4.6,amazon,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/15/2022 08:23:33
1.6,homedepot,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,11/15/2022 08:23:33
84.99,amazon,https://denalibuildingsupply.com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,11/15/2022 08:23:33
135.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,11/15/2022 08:23:33
149.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/15/2022 08:23:33
289.0,dkhardware,https://www.dkhardware.com/southwire-250-ft-12-3-solid-romex-simpull-cu-nm-b-w-g-wire-63947655-product-3154056.html,11/15/2022 08:23:33
634.6,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,11/15/2022 08:23:33
354.99,amazon,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,11/15/2022 08:23:33
154.99,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/15/2022 08:23:33
