Materials Description,Product id,Material Price,vendor,Link,Formatted Datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,4.73,ebarnett,https://www.ebarnett.com/Sku/2487615/12-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020018-853428,11/13/2022 11:18:19
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,8.35,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/13/2022 11:18:19
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400409,33.34,dkhardware,https://www.dkhardware.com/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-101568-product-3154073.html,11/13/2022 11:18:19
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),100144234,2.29,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/13/2022 11:18:19
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/13/2022 11:18:19
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,202241090,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,11/13/2022 11:18:19
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,2.29,amazon,https://denalibuildingsupply.com/products/1-2-in-electrical-metallic-tube-emt-set-screw-connectors-5-pack,11/13/2022 11:18:19
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,4.6,amazon,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/13/2022 11:18:19
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,202077147,0.98,elliottelectric,https://www.elliottelectric.com/P/Item/BRI/232/,11/13/2022 11:18:19
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,84.99,amazon,https://denalibuildingsupply.com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,11/13/2022 11:18:20
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,135.0,ebarnett,https://www.ebarnett.com/Sku/2487708/southwire-250-ft-143-solid-romex-simpull-cu-nm-b-wg-wire-032886163500-63946855,11/13/2022 11:18:20
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,149.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/13/2022 11:18:20
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,202316276,289.0,dkhardware,https://www.dkhardware.com/southwire-250-ft-12-3-solid-romex-simpull-cu-nm-b-w-g-wire-63947655-product-3154056.html,11/13/2022 11:18:20
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,80.0,amazon,https://www.amazon.com/Cerro-112-3451J-500-Feet-14-Gauge-Stranded/dp/B00D49VOI6,11/13/2022 11:18:20
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,73.98,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Wire-Black/dp/B0875QSY74,11/13/2022 11:18:20
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,155.99,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/13/2022 11:18:20
