Material Description,Material Price,Vendor Location,Link,Formatted Datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.59,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,10/30/2022 15:30:27
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.12,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,10/30/2022 15:30:27
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,dkhardware,https://www.dkhardware.com/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-101568-product-3154073.html,10/30/2022 15:30:27
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.1,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/30/2022 15:30:27
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,10/30/2022 15:30:27
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,10/30/2022 15:30:27
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/30/2022 15:30:27
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,com/p/halex-screw-emt-conduit-connector-051411262723,https://goldbeachlumber.com/p/halex-screw-emt-conduit-connector-051411262723,10/30/2022 15:30:27
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,com/p/steel-city-emt-conduit-connector-785991183801,https://killingworthtruevalue.com/p/steel-city-emt-conduit-connector-785991183801,10/30/2022 15:30:27
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,10/30/2022 15:30:27
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,10/30/2022 15:30:27
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,dkhardware,https://www.dkhardware.com/southwire-250-ft-12-2-solid-romex-simpull-cu-nm-b-w-g-wire-28828255-product-3154834.html,10/30/2022 15:30:27
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/30/2022 15:30:27
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,10/30/2022 15:30:27
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409.0,amazon,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/30/2022 15:30:27
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145.0,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,10/30/2022 15:30:27
